Sample	Replicate	microbe	Time	Concentration	headspace	pressure	condition	gas	id
202	MH2	MH2_3	M. smithii	86.75	5.33996662324362	H2	2bar	H2-2bar	CH4	MH2CH4
203	MH2	MH2_2	M. smithii	86.75	3.06247727946694	H2	2bar	H2-2bar	CH4	MH2CH4
204	MH2	MH2_1	M. smithii	86.75	3.40179940849541	H2	2bar	H2-2bar	CH4	MH2CH4
209	B	B3	B. thetaiotaomicron	61	0	N2	2bar	N2-2bar	CH4	BCH4
210	B	B2	B. thetaiotaomicron	61	0	N2	2bar	N2-2bar	CH4	BCH4
211	B	B1	B. thetaiotaomicron	61	0	N2	2bar	N2-2bar	CH4	BCH4
212	C	C2	C. minuta	61	0	N2	2bar	N2-2bar	CH4	CCH4
213	MN2	MN2_3	MN2	61	0	N2	2bar	N2-2bar	CH4	MN2CH4
214	MH2	MH2_3	M. smithii	139	5.41790845804914	H2	2bar	H2-2bar	CH4	MH2CH4
215	MN2	MN2_2	MN2	61	0	N2	2bar	N2-2bar	CH4	MN2CH4
216	MH2	MH2_2	M. smithii	139	80.2102644680386	H2	2bar	H2-2bar	H2	MH2H2
217	MN2	MN2_1	MN2	61	0	N2	2bar	N2-2bar	CH4	MN2CH4
219	C	C1	C. minuta	61	0	N2	2bar	N2-2bar	CH4	CCH4
220	MC	MC3	M. smithii/C. minuta	61	3.55114020723809	N2	2bar	N2-2bar	CH4	MCCH4
221	MH2	MH2_3	M. smithii	37.25	122.89087470242	H2	2bar	H2-2bar	H2	MH2H2
222	MC	MC2	M. smithii/C. minuta	61	3.14014462018952	N2	2bar	N2-2bar	CH4	MCCH4
223	MC	MC1	M. smithii/C. minuta	61	3.98780525338129	N2	2bar	N2-2bar	CH4	MCCH4
224	MB	MB3	M. smithii/B. thetaiotaomicron	61	0.355114553011327	N2	2bar	N2-2bar	CH4	MBCH4
225	C	C3	C. minuta	61	0	N2	2bar	N2-2bar	CH4	CCH4
226	MB	MB2	M. smithii/B. thetaiotaomicron	61	0.371621214772321	N2	2bar	N2-2bar	CH4	MBCH4
227	MB	MB1	M. smithii/B. thetaiotaomicron	61	0.342373718982177	N2	2bar	N2-2bar	CH4	MBCH4
228	MH2	MH2_3	M. smithii	61	2.80179627233293	H2	2bar	H2-2bar	CH4	MH2CH4
229	MH2	MH2_2	M. smithii	61	2.93462138332188	H2	2bar	H2-2bar	CH4	MH2CH4
230	MH2	MH2_1	M. smithii	61	3.28348368714762	H2	2bar	H2-2bar	CH4	MH2CH4
237	B	B3	B. thetaiotaomicron	37.25	0	N2	2bar	N2-2bar	CH4	BCH4
238	B	B2	B. thetaiotaomicron	37.25	0	N2	2bar	N2-2bar	CH4	BCH4
239	B	B1	B. thetaiotaomicron	37.25	0	N2	2bar	N2-2bar	CH4	BCH4
240	C	C3	C. minuta	37.25	0	N2	2bar	N2-2bar	CH4	CCH4
241	C	C2	C. minuta	37.25	0	N2	2bar	N2-2bar	CH4	CCH4
242	C	C1	C. minuta	37.25	0	N2	2bar	N2-2bar	CH4	CCH4
243	MN2	MN2_3	MN2	37.25	0	N2	2bar	N2-2bar	CH4	MN2CH4
245	MN2	MN2_2	MN2	37.25	0	N2	2bar	N2-2bar	CH4	MN2CH4
246	MN2	MN2_1	MN2	37.25	0	N2	2bar	N2-2bar	CH4	MN2CH4
247	MC	MC3	M. smithii/C. minuta	37.25	2.4263662225817	N2	2bar	N2-2bar	CH4	MCCH4
249	MC	MC2	M. smithii/C. minuta	37.25	2.15276907261891	N2	2bar	N2-2bar	CH4	MCCH4
250	MC	MC1	M. smithii/C. minuta	37.25	2.25688468466867	N2	2bar	N2-2bar	CH4	MCCH4
251	MB	MB2	M. smithii/B. thetaiotaomicron	37.25	0	N2	2bar	N2-2bar	CH4	MBCH4
252	MB	MB1	M. smithii/B. thetaiotaomicron	37.25	0.00632410653477562	N2	2bar	N2-2bar	CH4	MBCH4
253	MH2	MH2_3	M. smithii	37.25	2.58548290340572	H2	2bar	H2-2bar	CH4	MH2CH4
254	C	C2	C. minuta	86.75	20.1309301893588	N2	2bar	N2-2bar	H2	CH2
255	MH2	MH2_2	M. smithii	37.25	2.05780927418525	H2	2bar	H2-2bar	CH4	MH2CH4
256	MH2	MH2_1	M. smithii	37.25	2.0307845207944	H2	2bar	H2-2bar	CH4	MH2CH4
262	MB	MB3	M. smithii/B. thetaiotaomicron	37.25	0	N2	2bar	N2-2bar	CH4	MBCH4
265	B	B3	B. thetaiotaomicron	13.5	0	N2	2bar	N2-2bar	CH4	BCH4
266	B	B2	B. thetaiotaomicron	13.5	0	N2	2bar	N2-2bar	CH4	BCH4
267	B	B1	B. thetaiotaomicron	13.5	0	N2	2bar	N2-2bar	CH4	BCH4
268	C	C3	C. minuta	13.5	0	N2	2bar	N2-2bar	CH4	CCH4
269	C	C2	C. minuta	13.5	0	N2	2bar	N2-2bar	CH4	CCH4
270	MC	MC1	M. smithii/C. minuta	86.75	4.53711653505202	N2	2bar	N2-2bar	CH4	MCCH4
271	C	C1	C. minuta	13.5	0	N2	2bar	N2-2bar	CH4	CCH4
272	MN2	MN2_3	MN2	13.5	0	N2	2bar	N2-2bar	CH4	MN2CH4
273	MN2	MN2_2	MN2	13.5	0	N2	2bar	N2-2bar	CH4	MN2CH4
274	MN2	MN2_1	MN2	13.5	0	N2	2bar	N2-2bar	CH4	MN2CH4
275	MC	MC3	M. smithii/C. minuta	13.5	0.205962189755242	N2	2bar	N2-2bar	CH4	MCCH4
276	MC	MC2	M. smithii/C. minuta	13.5	0.227980940963144	N2	2bar	N2-2bar	CH4	MCCH4
278	MC	MC1	M. smithii/C. minuta	13.5	0.262512747519865	N2	2bar	N2-2bar	CH4	MCCH4
279	MB	MB3	M. smithii/B. thetaiotaomicron	13.5	0	N2	2bar	N2-2bar	CH4	MBCH4
280	MB	MB2	M. smithii/B. thetaiotaomicron	13.5	0	N2	2bar	N2-2bar	CH4	MBCH4
281	MB	MB3	M. smithii/B. thetaiotaomicron	13.5	0.0641412106836488	N2	2bar	N2-2bar	H2	MBH2
282	MB	MB1	M. smithii/B. thetaiotaomicron	13.5	0	N2	2bar	N2-2bar	CH4	MBCH4
283	MH2	MH2_3	M. smithii	13.5	0.581970353469072	H2	2bar	H2-2bar	CH4	MH2CH4
284	MH2	MH2_2	M. smithii	13.5	0.540489270003797	H2	2bar	H2-2bar	CH4	MH2CH4
285	MH2	MH2_1	M. smithii	13.5	0.190894530836486	H2	2bar	H2-2bar	CH4	MH2CH4
286	B	B3	B. thetaiotaomicron	37.25	0.116185954875691	N2	2bar	N2-2bar	H2	BH2
