"Sample"	"Replicate"	"microbe"	"Time"	"Concentration"	"headspace"	"pressure"	"condition"	"gas"	"id"
"98"	"Cma"	"Cma1"	"C. massiliensis"	143	6.45382858537582	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"102"	"MH2"	"MH22"	"M. smithii"	19.5	56.2402214344726	"H2"	"atm"	"H2-atm"	"H2"	"H2"
"103"	"MH2"	"MH21"	"M. smithii"	19.5	51.322188968126	"H2"	"atm"	"H2-atm"	"H2"	"H2"
"104"	"Cma"	"Cma1"	"C. massiliensis"	19.5	0.508142503823696	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"105"	"Ct"	"Ct3"	"C. timonensis"	19.5	0.047423665567205	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"106"	"Ct"	"Ct2"	"C. timonensis"	19.5	0.0413198042567931	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"107"	"Ct"	"Ct1"	"C. timonensis"	19.5	0.0338996648202364	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"108"	"CmaM"	"CmaM3"	"M. smithii /
C. massiliensis"	19.5	0.0396748876430717	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"109"	"CmaM"	"CmaM2"	"M. smithii /
C. massiliensis"	19.5	0.0246935324969862	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"110"	"CmaM"	"CmaM1"	"M. smithii /
C. massiliensis"	19.5	0.0368449707685406	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"111"	"CtM"	"CtM3"	"M. smithii /
C. timonensis"	19.5	0.0472796585438607	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"112"	"CtM"	"CtM2"	"M. smithii /
C. timonensis"	19.5	0.0954040819194914	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"113"	"CtM"	"CtM1"	"M. smithii /
C. timonensis"	19.5	1.22987419533761	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"114"	"C"	"C3"	"C. minuta"	19.5	1.44135456435687	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"115"	"C"	"C2"	"C. minuta"	19.5	1.79833820426831	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"116"	"C"	"C1"	"C. minuta"	19.5	1.44123716006545	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"118"	"C"	"C1"	"C. minuta"	143	20.2365237786009	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"121"	"C"	"C2"	"C. minuta"	164	20.5097107491984	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"122"	"MH2"	"MH22"	"M. smithii"	0	58.7976492516134	"H2"	"atm"	"H2-atm"	"H2"	"H2"
"123"	"Cma"	"Cma3"	"C. massiliensis"	0	0.0153000273396312	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"124"	"Ct"	"Ct3"	"C. timonensis"	91.5	0.268154791932981	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"125"	"Cma"	"Cma2"	"C. massiliensis"	0	0.0153000273396312	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"126"	"Cma"	"Cma1"	"C. massiliensis"	0	0.0153000273396312	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"127"	"Ct"	"Ct3"	"C. timonensis"	0	0.0153000273396312	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"128"	"Ct"	"Ct2"	"C. timonensis"	0	0.0153000273396312	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"129"	"Ct"	"Ct1"	"C. timonensis"	0	0.0153000273396312	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"130"	"CmaM"	"CmaM3"	"M. smithii /
C. massiliensis"	0	0.0153000273396312	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"131"	"CmaM"	"CmaM1"	"M. smithii /
C. massiliensis"	0	0.0153000273396312	"N2"	"atm"	"N2-atm"	"H2"	"H2"
