"SampleBatch" "Replicate" "microbe" "Time" "Concentration" "headspace" "pressure" "condition" "gas" "id" "Batch"
"79" "MH23" "MH2_13" "M. smithii" 157 46.6823171138699 "H2" "2bar" "H2-2bar" "H2" "MH23H2" "N2 - 2 bar"
"80" "MC3" "MC23" "M. smithii /
C. minuta" 113.75 0.274130111211244 "N2" "2bar" "N2-2bar" "H2" "MC3H2" "N2 - 2 bar"
"81" "B3" "B33" "B. thetaiotaomicron" 113.75 1.07065539393335 "N2" "2bar" "N2-2bar" "H2" "B3H2" "N2 - 2 bar"
"82" "B3" "B23" "B. thetaiotaomicron" 113.75 1.77038953301953 "N2" "2bar" "N2-2bar" "H2" "B3H2" "N2 - 2 bar"
"84" "MH2-atm" "MH2_3" "M. smithii" 166.5 25.6686661127328 "H2" "atm" "H2-atm" "H2" "MH2-atmH2" "N2 - atm"
"90" "MH23" "MH2_33" "M. smithii" 84.75 62.1252246460601 "H2" "2bar" "H2-2bar" "H2" "MH23H2" "N2 - 2 bar"
"91" "MN22" "MN2_32" "M. smithii" 22.5 0.0279724921165944 "N2" "2bar" "N2-2bar" "H2" "MN22H2" NA
"92" "C3" "C33" "C. minuta" 84.75 11.9472229516242 "N2" "2bar" "N2-2bar" "H2" "C3H2" "N2 - 2 bar"
"93" "MH2-atm" "MH2_3" "M. smithii" 140.5 25.1221948641736 "H2" "atm" "H2-atm" "H2" "MH2-atmH2" "N2 - atm"
"94" "C3" "C23" "C. minuta" 84.75 10.1394297882497 "N2" "2bar" "N2-2bar" "H2" "C3H2" "N2 - 2 bar"
"95" "MH23" "MH2_33" "M. smithii" 183.75 24.8092473750908 "H2" "2bar" "H2-2bar" "H2" "MH23H2" "N2 - 2 bar"
"96" "MC3" "MC33" "M. smithii /
C. minuta" 84.75 0.35448985455301 "N2" "2bar" "N2-2bar" "H2" "MC3H2" "N2 - 2 bar"
"97" "MH2-atm" "MH2_3" "M. smithii" 88.75 36.2931506659764 "H2" "atm" "H2-atm" "H2" "MH2-atmH2" "N2 - atm"
"98" "B3" "B33" "B. thetaiotaomicron" 84.75 1.34892494754637 "N2" "2bar" "N2-2bar" "H2" "B3H2" "N2 - 2 bar"
"100" "MC-op" "MC2" "M. smithii /
C. minuta" 12.5 114.81969963036 "H2" "2bar" "H2-2bar" "H2" "MC-opH2" "H2 - 2 bar"
"101" "MB3" "MB23" "M. smithii /
B. thetaiotaomicron" 183.75 0.0849650141876025 "N2" "2bar" "N2-2bar" "H2" "MB3H2" "N2 - 2 bar"
"102" "C3" "C23" "C. minuta" 157 15.3154004805329 "N2" "2bar" "N2-2bar" "H2" "C3H2" "N2 - 2 bar"
"103" "MB3" "MB23" "M. smithii /
B. thetaiotaomicron" 84.75 0.0464374436287917 "N2" "2bar" "N2-2bar" "H2" "MB3H2" "N2 - 2 bar"
"109" "MB3" "MB13" "M. smithii /
B. thetaiotaomicron" 84.75 0.0462474893791161 "N2" "2bar" "N2-2bar" "H2" "MB3H2" "N2 - 2 bar"
"110" "MH23" "MH2_33" "M. smithii" 60.5 74.2715105434893 "H2" "2bar" "H2-2bar" "H2" "MH23H2" "N2 - 2 bar"
